Juneau,Alaska,311,31
Phoenix,Arizona,311,32
Little Rock,Arkansas,311,33
Sacramento,California,311,34
Denver,Colorado,311,35
Hartford,Connecticut,311,36
Dover,Delaware,311,37
Tallahassee,Florida,311,38
Atlanta,Georgia,311,39
Honolulu,Hawaii,311,40
Boise,Idaho,311,41
Springfield,Illinois,311,42
Indianapolis,Indiana,311,43
Des Moines,Iowa,311,44
Topeka,Kansas,311,45
Frankfort,Kentucky,326,46
Baton Rouge,Louisiana,327,47
Augusta,Maine,328,48
Annapolis,Maryland,329,49
Boston,Massachusetts,330,50
Lansing,Michigan,331,51
Saint Paul,Minnesota,332,52
Jackson,Mississippi,333,53
Jefferson City,Missouri,334,54
Helena,Montana,335,55
Lincoln,Nebraska,336,56
Carson City,Nevada,337,57
Concord,New Hampshire,338,58
Trenton,New Jersey,339,59
Santa Fe,New Mexico,340,60
Juneau,Alaska,511,471
Phoenix,Arizona,512,472
Little Rock,Arkansas,513,473
Sacramento,California,514,474
Denver,Colorado,515,475
Hartford,Connecticut,516,476
Dover,Delaware,517,477
Tallahassee,Florida,518,478
Atlanta,Georgia,519,479
Honolulu,Hawaii,520,480
Boise,Idaho,521,481
Springfield,Illinois,522,482
Indianapolis,Indiana,523,483
Des Moines,Iowa,524,484
Topeka,Kansas,525,485
Frankfort,Kentucky,526,486
Baton Rouge,Louisiana,527,487
Augusta,Maine,528,488
Annapolis,Maryland,529,489
Boston,Massachusetts,530,490
Lansing,Michigan,531,491
Saint Paul,Minnesota,532,492
Jackson,Mississippi,533,493
Jefferson City,Missouri,534,494
Helena,Montana,535,495
Lincoln,Nebraska,536,496
Carson City,Nevada,537,497
Concord,New Hampshire,538,498
Trenton,New Jersey,539,499
Santa Fe,New Mexico,540,500
Lansing,Michigan,541,501
Saint Paul,Minnesota,542,502
Jackson,Mississippi,543,503
Jefferson City,Missouri,544,504
Helena,Montana,545,505
Lincoln,Nebraska,546,506
Carson City,Nevada,547,507
Concord,New Hampshire,548,508
Trenton,New Jersey,549,509
Santa Fe,New Mexico,550,510
Juneau,Alaska,10001,31
Phoenix,Arizona,10002,32
Little Rock,Arkansas,10003,33
Sacramento,California,10004,34
Denver,Colorado,10005,35
Hartford,Connecticut,10006,36
Dover,Delaware,10007,37
Tallahassee,Florida,10008,38
Atlanta,Georgia,10009,39
Honolulu,Hawaii,10010,40
Boise,Idaho,10011,41
Springfield,Illinois,10012,42
Indianapolis,Indiana,10013,43
Des Moines,Iowa,10014,44
Topeka,Kansas,10015,45
Frankfort,Kentucky,10016,46
Baton Rouge,Louisiana,10017,47
Augusta,Maine,10018,48
Annapolis,Maryland,10019,49
Boston,Massachusetts,10020,50
Lansing,Michigan,10021,51
Saint Paul,Minnesota,10022,52
Jackson,Mississippi,10023,53
Jefferson City,Missouri,10024,54
Helena,Montana,10025,55
Lincoln,Nebraska,10026,56
Carson City,Nevada,10027,57
Concord,New Hampshire,10028,58
Trenton,New Jersey,10029,59
Santa Fe,New Mexico,10030,60
Juneau,Alaska,10031,471
Phoenix,Arizona,10032,472
Little Rock,Arkansas,10033,473
Sacramento,California,10034,474
Denver,Colorado,10035,475
Hartford,Connecticut,10036,476
Dover,Delaware,10037,477
Tallahassee,Florida,10038,478
Atlanta,Georgia,10039,479
Honolulu,Hawaii,10040,480
Boise,Idaho,10041,481
Springfield,Illinois,10042,482
Indianapolis,Indiana,10043,483
Des Moines,Iowa,10044,484
Topeka,Kansas,10045,485
Frankfort,Kentucky,10046,486
Baton Rouge,Louisiana,10047,487
Augusta,Maine,10048,488
Annapolis,Maryland,10049,489
Boston,Massachusetts,10050,490
Lansing,Michigan,10051,491
Saint Paul,Minnesota,10052,492
Jackson,Mississippi,10053,493
Jefferson City,Missouri,10054,494
Helena,Montana,10055,495
Lincoln,Nebraska,10056,496
Carson City,Nevada,10057,497
Concord,New Hampshire,10058,498
Trenton,New Jersey,10059,499
Santa Fe,New Mexico,10060,500
Lansing,Michigan,10061,501
Saint Paul,Minnesota,10062,502
Jackson,Mississippi,10063,503
Jefferson City,Missouri,10064,504
Helena,Montana,10065,505
Lincoln,Nebraska,10066,506
Carson City,Nevada,10067,507
Concord,New Hampshire,10068,508
Trenton,New Jersey,10069,509
Santa Fe,New Mexico,10070,510
