1,8:00:00,23:00:00
2,6:30:00,21:00:00
3,7:00:00,20:00:00
4,7:45:00,22:00:00
5,8:00:00,22:30:00
6,9:00:00,24:00:00
7,10:00:00,23:30:00
8,9:30:00,21:30:00
9,9:15:00,21:30
10,11:00:00,23:00:00
11,8:30:00,21:00
12,8:15:00,20:00:00
13,8:30:00,21:00:00
14,9:30:00,23:00:00
15,11:30:00,22:00:00
16,8:00:00,21:00:00
17,9:00:00,22:00:00
18,10:00:00,21:30:00
19,11:00:00,21:00:00
20,10:30:00,21:00:00
21,9:15:00,22:00:00
22,9:00:00,21:00:00
23,8:00:00,23:00:00
24,7:00:00,23:30:00
25,8:00:00,21:00:00
26,9:00:00,23:30:00
27,10:00:00,21:00:00
28,11:00:00,21:30:00
29,8:00:00,22:00:00
30,8:30:00,22:30:00
